,comment_text,severe_toxic
24618,POSTSCRIPT: And this article is still really pathetic! ~M~,0
d75336046f87aacd,DIE MOTHERFUCKER DIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKERDIE MOTHERFUCKER,1
46453,"22:14, 15 Mar 2005 (UTC)",0
141407,User:Legacypac is the most evil wikipedian in the world I've ever seen.,0
79549,"""-odd families that do already have one, just put """"see ..."""" instead of """"main article..."""" and a summary.  For the most important few dozen of the remaining families, create articles and do the same.  Leave the lower-priority members here without their own family articles.  """"Priority"""" is in the eye of the individual editor, but I'd say do as many as you need to get the article down well below 200KB.
Also: Splitting the list into 2 or 3 sections by alphabet works well.  See the split of Wikipedia:List of missing journals for an example of how to do this while preserving a common header.  One thing this article may have to worry about that Wikipedia:List of missing journals didn't is incoming links:  If you split it, there will be a few dozen redirected incoming links.  /(talk)/(contribs)/(e-mail) 02:20""",0
7893,"Hi, you poor twerps. My money does far more good than your pathetic rule enforcing. Have fun with your fat wives and gay hookers.",1
48621,"""

 FUCK YOU 
FUCK YOU!!!  YOU'RE A STUPID NIGGER LOVER.  GO FUCK A DEAD MOOSE.-The'FortyFive' """,1
114553,"facist muslim fuck face
is what u r. bitch. fuck off and die.",1
113324,Go fuck yourself you piece of shit.,1
1a9c81ff800105c7,"===i'll be damned before I let you WHITE right wing wealthy TEA BAGGERS control the world=== 
 it already happened in the 1900s but it won't happen again never again will the many kneel down before the few for favors and table scraps i'll mess u up if you try to mess with the will of the public fk u, fk ur ancestors, fk ur children u rich WHITE SLAVEHOLDER 
 FK U WHITE REPUBLICANS (in the case u are black)  U should be ashamed u supremecist asshole for siding with the white people.  This guys grandfather probably spat and fked ur grandmother in the cotton fields.  IF  U ARE BLACK AND A REPUBLICAN GO FK URSELF U MOTHER FKING retard   U ARE THE EMBODIMENT OF EVERTYHING THat is wrong with our society.  U ARE NOT WHITE, no matter how many wine tasting events and charity dinners u go to, u will still be the black fker to all the white people.  SO IN CASE U are COLORED STOP!!!  stop helping the whites, stop voting republican and right wing, stop attacking the poor and defenseless.  GO JOIN OBAMA AND THE NEED FOR change.  U JUST MADE A BIG MISTAKE MUTHER FKER; i'm gonna rape the tar out of ur account for fking w/ me stupid jew.  I'm gonna fking terrorize u like the whites did to the blacks during the 1840s.   HOPE U COMMIT SUICIDE cause u can't handle it u mother fking republican t-bag. 
 ((In the case you are democratically inclined feel free to shoot me an email and I will leave u the alone, if not i will go on every ip address i can find in my college campus/small town and fk the living tar out of u)) 
 email is (seriously):  dumbasssrepublicans@yahoo.com or republicansareevil@rocketmail.com  
 :Oh noes.",1
78767,"a reminder you are late on the rent, puta

]]

thanks for trasing the salem page

f.. u   to stalker

paga la renta puta madre",1
106931,"Shut up you fucking loser.  Get a life you fat fuck.  

````",1
3554,"Hey I thnk that you an asshole 

You just love to fuck your momk all day bitch.  Stop Fuckinmg her now!!!!!!!!!!  Got it bitch",1
103955,"I strongly disagree whith your opinion, but since I'm clearly outnumbered I'll accept your decision; in my opinion, the most information it's removed, the least useful this article becomes: the only “opening year” isn't really relevant, if it's taken individually - and despite being stable data, they're alike questionable (at least for early systems) - and this way even the sortability of the table   becomes pointless: it'll be more rational to revert the article to a mere, simple list as it was before March 2013 (if I correctly saw in the “history”). Conversely, the reader's usefulness of collecting statistic data in such a global list is far bigger than adding that to a nationwide/continental list: if you're interested in some specific system you can go directly to their individial Wiki pages, while if you aim to a world overview, it's somewhat tiring to “search, open & match” a handful of different article. Don't take it to heart, but I don't intend to further contribute to this list: good luck with your project, but from my personal point of view as reader/user it doesn't worth the needed time and effort.",0
93937,"""Dbachmann, you are a motherfuckin' sonofabitch. Your ancestor Hitler had much more respect for Indians. He balked about Aryans.... We are Aryans. And your fuckin' racism won't work here. You BASTARD !!!!! Indians Are Real Great People. It's only Europeans who corrupted them !!!! Fuckin' sonofabitch, where are you from ? Zurich ? That is you are a SLAVE,  a SLAVE of AMERICA !!!! Rascal !!!! Madarchod !!!! Behenchod !!!!! Bhadva !!!!!!! RANDVA !!!!! Chutmarike !!!!! YOU FUCKIN' GAY !!!! SUCKER HOMO !!!!! ROT IN HELL, YOU SISTERFUCKER !!!! HECK, THEY WON'T TAKE YOU EVEN THERE !!!

'

KRAZY BHADVA WANTS TO LICK YOUR ASS

'

ACTUALLY KRAZY GAY SUCKA

''''''

DBACHMANN IS BHADANI'S REAL FATHER

'

DBACHMANN WANTS TO LICK YOUR ASS

''''''


[[User_talk:Bhadani|SAMIR SCOPE IS A SUCKER]]'''

''''


'''[[User_talk:Bhadani|KRAZY BHADVA WANTS TO SUCK YOUR  DICK]]'''

'


[[User_talk:Bhadani|LOST BHADVA WANTS TO LICK BHADVA-NI'S ASS]]'''

''''


'''[[Group Sex|DBACHMANN & HIS WH",1
8807,"""

 Talkback 

 montecarlo - alt """,0
10892,"FUCK YOU 

70.17.2.2 Forever",1
025d45d14a2e030a,FUCK YOU YOU LIKE ANGELIQUE CARRINGTON AND TAMARA HARRINGTON??????FUCK YOU ASSHOLE!!!!!!,1
8b7c97a7dac6467f,"::::::::*face palm* There already WAS a consensus on WP:VG (but apparently, because it wasn't on this talk page, that wasn't a real consensus). You don't present any reason to have three release dates, or to split to avoid dropping these release dates, or why people can't simply go to the articles to get the extra dates. And just a question - why was it fine to drop developers, but not extra dates? That information is helpful, but you agreed to its removal. Why is it okay to drop that useful content, but not this useful content? Why don't we follow the precedence set by many other articles, including List of Nintendo 64 games, List of PlayStation 2 games, etc.? And again, I don't see where having a horribly large article that makes it almost impossible for users to load at a decent pace is a good idea. You certainly apply the argument of not removing useful information arbitrarily, so why can't we remove dates? -",0
144630,"You're a fucking idiot

149.254.51.110",1
64577,"""

Dubious addition
Caltrops are used inside some atomic bombs to center the uranium or plutonium """"pit"""" inside the spherical tamper. The air gap allows the tamper more time to accelerate, which compresses the pit more tightly and leads to more efficient fission.
I find this to be very unlikely  for something as highly-engineered as an atom bomb, I'd think they'd use something purpose-built.  """,0
16130,"Fuck off! 

Fuck off!",1
102619,"""

You were not blocked just for this, but also for your continuous edit warring. ≈talk≈ """,0
90206,"""

Feel free to bring any authors to wp:rs noticeboards.   """,0
8875,FUCK OFF MY PAGE!!!!!!!!!!!!!!,1
103027,"Oh my god, some genres on pages don't have sources. I've seen it w/ my own 2 eyes. Have u?",0
140712,"fuck-sucking 

Kindly find the nearest fuck and suck it.",1
87682,want to fuck you in the ass and make sweet sex to your dick.,1
104562,"German Song? 

Is the german version of the song relevant at all?",0
d0bac8cd3ad73269,"==Last edit== 
 Please do not take off the added info as WP:NPOV states that when there is conflicting views you must state both views. Also no source should be given due weight. So please do not remove. Also AGF.",0
76164,"Bloody asshole 

You are a bloody asshole and fucking hijra, chootiya and if you block then remember i will hack your account and find you. i will beat you so hard that you will remember.",1
4031,"You haven't looked into in the blatant POV and editing history of Malik Shabazz? Is it that you are not interested, agree with his POV pushing, or do you just fear him?",0
3381ffe849b1edea,FUCKING PIECE OF SHIT. FUCK YOU. GET A FUCKING LIFE. truly yours,1
89688,"you are still a stupid cunt of a whore! 

you are still a stupid cunt of a whore!",1
6204,jam your message up your arse wikipedia dickhead,1
ce6e134999736ae9,"Re: WVBT 
 I'm not sure, I thought it was Lori, could be Leon... seems like you don't know who will be anchoring what now that Les Smith is gone.",0
30626,islams you mutha F***ers,1
47f607bdde02d492,":::::::::::I've lost track of how many times I've asked you to substantiate your claims of COI and BLP violations. Yes, please post whatever information is needed to establish the accusations.",0
86162,ANN COULTER IS A NO GOOD FUCKING CUNT AND SHE IS GOING TO HELL ALONMG SIDE WITH THE FUCK HEAD GEORGE W. BUSH!!! THE THE GOP!!! THE RIGHT = RICH OLD ASS WHO HATE THE POOR PEOPLE AND WANT MORE!!!,1
155471,"Bitch shut your ass up, it's not bogus Vince is the majority owner, and yes through the class b shares it became Family owned and controled, that's why it's considered Family owned, and the only reason I haven't changed it back to McMahon Family, is because Wikipedia said I'm in a edit war, take yo ass back to editing something else give been editing WWE and Stephanie McMahon things for 2 years and yo stupid ass is the only one who has said something about my editing",1
6796ef2453288d80,"== USERBOX == 

 How to create an userbox. Rastko, from NYRA, is here )A pace-loving commie liberal )",0
3b567d073d0efb9b,I would have voted for deleting it. Not that it is bad just too trivial to keep. Lots of people have family trees. Why just show Ali's,0
77866,"""

 """"Microsoft Internet Explorer"""" vs """"Internet Explorer"""" 
Just a small detail, but I couldn't help but notice that Microsoft Internet Explorer is listed simply as """"Internet Explorer,"""" while other browsers (i.e. """"Mozilla Firefox"""" and """"Netscape Navigator"""") are listed under their full names.  Should """"Internet Explorer"""" be renamed to """"Microsoft Internet Explorer"""" in this article, or should """"Mozilla Firefox"""" be listed as """"Firefox"""" and so on?  """,0
cd9a12ccf490458d,"::Coachbuilt isn't the very highest quality that web sites go, but it's a huge lot nearer the top than the bottom, and the article as it is now constructed -needs- to reference items which we realize are dubious, or disputed, or false.  This is often the case when describing legends, myths, and rumors, which make up one of the article's subjects.",0
139294,"WHO THE FUCK DO YOU THINK YOU ARE DELETING THE SMS SECTION TO THE SYDNEY GANG RAPES - IT IS SOURCED AND VERIFIED AND NOT BIASED - SO WHY THE FUCK DID YOU REVERT IT - REVERT THE THINGS WHICH YOU THINK TO BE UNSOURCED, BUT NOT EVERYTHING YOU IDIOT - IT WAS IN THE ARTICLE FOR MONTHS AND MONTHS UNTIL TWO DAYS AGO, AND YOU DIDNT HAVE A PROBLEM WITH IT THEN - STOP YOUR ISLAMIC AGENDA TO HIDE THE TRUTH OF THE RAPES THAT THEY WERE RACIST - LOOK AT THE SMS MESSAGES INCITE BASH A CHRISTIAN!!! YOU FUCKING SCUM!!! I HOPE YOU HAVE A DAUGHTER AND SHE IS RAPED AND SHE IS TOLD SHE DESERVES IT BECAUSE SHE IS AN AUSIE PIG, THEN WHEN YOU MAKE AN UTTERANCE ABOUT IT, WE'LL CALLYOU RACIST AND THEN WHITEWASH THE TRUTH",1
147110,"""

 Who were the original members and what did they play? 

I am unable to be sure who the original members of the band were, how many they were, and what instruments they playe. Even sifting through the opening section leaves me with some uncertainty, although para 2 tells me the original drummer. I know this is a voluntary project, and I'm grateful for there being any info at at all. Nonetheless, after reading the first paragraph I'm unable to answer basic questions like this.

The opening says: """"The Jesus and Mary Chain originally revolved around the songwriting partnership of its two main members, plus third founding member, bass player Douglas Hart. In the early days, Reid's guitar would be left out of tune, while Hart's bass guitar only had two strings""""

Who were those two main members? What did they play? One Reid (which one?) plays guitar ... does the other play guitar too? Two main members plus third found member - this implies to me that it was a 3 piece band. Was it? Was the original drummer mentioned in para 2 the other """"main member""""?

I'm sorry, but I'm annoyed by articles like this, which seem to assume some starting knowledge on the part of readers and don't specify exact information.

  """,0
25666,Total Asshole bitches like you just need to get the fuck off. Motherfucking Shithole. Eat your dick.,1
