,comment_text,identity_hate
68628,"""

 Fuck you, cunt!!!!!!!!!!!!!!!!!!!!! 

try these important things and maybe you won't be such a sucker motherfucker:

1. Learn how to spell. If things remain as they are, everyone is bound to consider you to be the ignorant lame-brained cult member you are.

2. Revert your attacks on Van Tucky on the talk pages. You come off as a vicious, vile psychopath. If you ever set your cult defending ass in a court of law, the jury would see through your charade in heartbeat.

3. Stop playing good cop- bad cop with your fucking retarded Dahn hack Forestgarden

4. Accept all Korean language sources you stupid bitch!! How dare you try to stifle and censor articles in the name of your fucked up cult. Your Forestgarden bitch believes its within Wiki policy to include Korean language articles when reporting on favorable aspects of your bitch master. Why don't you include all the other more negative portrayals in the Korean language. Also, who said this Itsahappyday fuckhead deserves to translate any Korean? This should all be disputed, you fucking racist, neo-nazi reject?

5. Stop using the word cynical to describe your """"enemies."""" You come off even more retarded than your Ilchee bitch master. Your philosophical maturity is less than that of a first grader. The world is """"cynical."""" Those who don't believe in Dahn are """"cynical."""" I can't wait until South Park makes an episode about your bitch cult. 

6. Are you fucking insane? Korea is the center of the universe? Korea as a cultural hub? Korea the place where the next messiah appears? You Dahn people never cease to amaze when it comes to your thought processes. Korea is not what your Ilchee bitch believes it to be. Think about it retard- the fucking nation of Palau has more of a right to talk about religious heritage than the fucking hermit kingdom. How can you be so retarded, that you choose a Korean cult? If you chose a Chinese or Indian one, at least it would show you have some portion of a brain. Coming to Korea and joining a Korean cult with Korea-centric views is more retarded than travelling to Antartica in search of good coffee while visiting Columbia in search of ice and snow.

7. One more time: the philosophical underpinnings of your shit cult are so flimsy I must question your intelligence.

8. Nicola Cola...what kind of bitch ass name is that? what is wrong with you?

And you wonder why you need to join a fucked up cult to find friendship and loving. Dumb fuck!!!!!!""",1
4669956b6c42986c,===== A lot of poeple got killed that day =====,0
784b5e94eedaf081,t.i is the gayest raper ever. he is a girl and he has a pussy,1
32e73a37883e9b94,"I didn't realise that traditional dances performing in a foreign country signifies that the country in which those dancers hail from automatically becomes part of the country where they perform? So when Malay Aborigines perform in Thailand, Malaysia is interpreted to be a part of Thailand? I hope there is a greater dose of simple logic here. You are attempting to insert your POV in supposed sensitivity when none are suggested in any way. Taiwanese Aborigines are free to perform anywhere they wish, and have complete freedom to decline to perform for any reason.",0
b1db5b8fb5c429b3,""" 
 {| width=""""100%"""" class=""""plainlinks"""" cellpadding=""""5"""" cellspacing=""""10"""" style=""""background:transparent;"""" 
 | width=""""55%"""" valign=""""top"""" style=""""padding: 0; margin:0;"""" |  

  

  / """,0
138482,"Fucking niggers thanks for wasting my time here,I'll just go back to vandalizing this shithole",1
57276,"TO SITUSH(PAKISTANI  PIG) 

What  is your problem, you bloody muslim pakistani, why the hell are you jealous of HINDUS and SIKHS ???

you born out of shit of a pig just stay away from this article...we don't prefer pakistani muslim pigs touching this pious article.",1
93f78b17456141ce,") 
 ::Well crap. I must say that it always sucks when a good editor decides to leave, but I can certainly understand why. And as Randomdan points out, real life trumps Wiki-life. Take care and good luck in whatever you do. (",0
118429,What a cowardly Jew. lmfao. stick to picking on girls and women in the ghettos you and your Nazi faggot friends make out of functional civilisations.,1
51288,"""

 first paragraph 

I removed a sentence which noted that this gun is """"beautifully crafted"""" and is so rare that it sells for """"20,000"""" or more at auction. This sentence was poorly worded and didn't cite it sources. In addition to this I don't see how someones opinion on the aesthetic qualities of this firearm or todays current sale price in USD are valuable or relevant pieces of information for an encyclopedia article""",0
57f90c261bf2ed09,"aleesha, deion are u gay",1
5f1de2abece1abf9,go to hell fagot,1
126867,"""
Hey! Great work on the Maharajas College article. Its coming up nicely. However, keep in mind that wikipedia is an encyclopedia, and therefore the page should not sound like an advert for the college. Check WP:MoS for help on styling the page. You can catch me on yahoo messenger at deepujoseph2003 .Cheers!a.k.a.Depu Joseph |TALK""",0
a15c4bdd0749bd0f,""" 
 :::*You made again an obvious copyright violation in your latest edit (using text from LA paper without """"..."""")  - after being warned several times about it - on your talk page and on RSNB ].   """,0
99222,"""

Okay, thanks, that's clear, I will action that when I get time. It is not really that I am attacking anybody, but that I am defending myself again the attacks of User:Bobrayner against articles that I spent a lot of time on (without pay) to inform readers. The main objection I have to User:Bobrayner's editing is that he edits articles without any proper knowledge of the subject and then substitutes his own interpretation, the result being a bunch of errors. Let me give a recent example to illustrate. In the article on the Marxian concept of Surplus product, User:Bobrayner recently wiped out the sentence """"The concept plays an important role in Das Kapital"""", but for no good reason. After all, Marx writes that: """"Since the production of surplus-value is the determining purpose of capitalist production, the size of a given quantity of wealth must be measured, not by the absolute quantity produced, but by the relative magnitude of the surplus product."""" Cap. Vol. 1, Penguin, pp. 338-339. This is absolutely central to Marx's argument. The concept is discussed in more detail across about ten pages and at least five places in Capital Vol. 2, and again in at least 11 different places in Capital Vol. 3. So it is an important theoretical concept in Das Kapital. Yet User:Bobrayner wipes that out! Next, I write """"Nowadays the concept is mainly used in Marxian economics, surplus economics as well as sociology and other social sciences”. User:Bobrayner wipes out “surplus economics”, “archaeology”, “sociology” and “other social sciences” so that the  sentence now reads: “Nowadays the concept is mainly used in Marxian economics.[2] political anthropology, cultural anthropology, economic anthropology” (in that case, it should really be “AND economic anthropology”). However, scholars familiar with the concept know quite well that this concept is used exactly in the way that I said, and references can be provided for this (in fact I quote plenty examples in the rest of the article). However, if I provided references, then User:Bobrayner will no doubt wipe them out on the ground that I am offering a “quote farm” or some such thing. User:Bobrayner next wipes out the statement that “For most of the history of civil society, the meaning of the surplus product was fairly obvious and clear. It consisted of (1) that part of what workers produced (products, offspring or services) which they had to hand over to the chief, the landowner, the lord, or the state, as a tax, rent or tribute, and (2) incidental surplus produce, in excess of the producers' own requirements, which was traded for other goods. However, the meaning of surplus product becomes less clear in capitalist society (see below).” There is nothing particularly controversial about this statement, and it could be referenced without any problem; I explain the reasoning in subsequent sections of the article. Next, User:Bobrayner wipes out “the statement that “Since trade always involves two or more parties with their own interests in the matter, the meanings of that trade can be construed in different ways by different stakeholders, and they can evolve across time. If that is the case, the economic meanings of trade are never completely fixed once and for all. Such ambiguities gave rise to many different interpretations of what """"fair trade"""" or """"just trade""""(and therefore trade of benefit to society) might be considered to be. For a long time, it was very difficult for economic theorists to separate out the moral judgement about different kinds of trade, from a scientific appraisal of the actual objective processes of trade, because commerce was dominated by legal codes and by religion.” For any scholar of the subject, this is quite obvious, but nevertheless User:Bobrayner wipes it out. After wiping out a few more small  clarifying bits, User:Bobrayner modifies the sentence “The existence of a surplus product normally assumes the ability to perform surplus labour” and adds, “In Marxism, the existence of a """"surplus product"""" normally assumes the ability to perform surplus labour.” But this doesn’t even distinguish between Marx and all sorts of Marxisms or Marxists or other historians using this concept.  When I write carefully, “With the bourgeois state, taxpayers typically have the possibility of electing their own representatives to state office, which means that they can in principle influence the taxation system and the justice system generally. That possibility has rarely existed in non-capitalist states; there, any public criticism of the state  that the critic  could be fined, imprisoned or killed,” then User:Bobrayner changes that to “With the bourgeois state, taxpayers have the possibility of electing their own representatives to state office, which means that they can in principle influence the taxation system and the justice system generally. That possibility has",0
3155e72a527ed216,REDIRECT Talk:The Secret Relationship Between Blacks and Jews,0
82566,AND YOUR A FUCKING GAY BITCH,1
1e7f1bd40de16aa8,those niggas was straight up gangsta,1
46f4af8e51b40ad5,"== rollback == 

 Policy does not restrict the use of the rollback button to vandalism.  It has been discussed before, but it has never been accepted as policy.",0
126168,Everything's LOOSE!!!!  I SAY LOOSE!!!,0
101757,"Made a fellow of the royal society 

This probably needs to go in the article.  https://royalsociety.org/people/fellowship/2015/clifford-cocks/",0
57798,"You are a fag! Why did you deleate Dogatro? It said UNDER CONTRUCTION, Dick!!!!",1
141549,Jew supremacist liar. 146.179.213.55,1
1823b03623ab1729,"== Lol == 

 Grow up fag. Go meet a girl ;)",1
dbc59474e0eae4e9,"==Sucks== 

 This game sucks. Too many hacks, and faggots.",1
13dd88bd6f5d52b4,"== A question for you == 

 Hi Mr. Bee - I'm working on  and HRS mentions that a Princess Luise Sofie of Prussia christened the ship, but I have no idea who that might refer to. The closest I can find is Princess Louise of Prussia, but she does not appear to have Sofie as a middle name (hers being Marie Elisabeth). Do you have an idea about who this is? Thanks.",0
140115,"Hey Isambard, thanks for your comment. You can see in the section below that OED, Merriam-Webster and Dictionary.com more or less agree with my definition. You're right that I should cite them in the article itself - I'll do that. Thanks again.",0
116858,"Update: was this due to the 3 revert rule?  If so, I was unaware (am now) and apoligize, but your warning (and assumption of vandalism) was rather crass.",0
130402,"""

 Help?!?! 

Hey I like the way you have your profile. Especially the part where you put some of the words a diffrent colour (""""Un poco sobre mi..."""" and """"Some articles I've contributed to:"""") and I was wondering if you can help me. If you want and have the time to, I dont want to force you nor take your time. Thanks for reading,   """,0
108599,"I have now removed a convoluted paragraph from the Origin section. It relied on the works of geographers from 1000 or so years ago, and the interpretation of the highly unreliable James Tod. It was in fact an unattributed copy from a book. Perhaps there is a way to include the info but I am at a loss right now regarding how best to do it, especially since there is no certainty that the book is even referring to the same people as those in this article. The relevant section can be found at pp 354-358 of this book. -",0
28622,"""

 You  have no life or friends and all the other admin.s laugh about you behind your back 

  The Award of the Arabian Barnstar  I hereby award you with the Award of the Gay Barnstar due to your incredible gayness and lack of having a life or friends, والسلام عليكم""",1
108953,"MORIHAMER wins over rajya srivijaya 

...hindi indi multi kulti brownies deserve eternal barring from the Land of Green Suns, these people are Short Men who invaded our homeworld MORIHAMER, their interplanetary imperialism originating from Surya Majapahit starsystem must be evaporated, even if The Eldest of the Tower Of Eternity would do that himself.",0
57866,hi i would like to ask you. what year is tesco opened? who are the oner ship?,0
85769,"sarah palin is a fucking bitch 

this stupid nazi woman is a fucking bitch...

i hope they kill her.. RACIST conservative NAZI...

stupid ugly bitch with glasses...

and the americans love her because shes a fuckign ku klux klan..

die sarah stupid racist..",1
8b0d4dbdbc206b47,FIRST OF ALL IM A FUCKING GAY CUNT HOMO LISTEN TO ME BECAUSE IM YOUR MOTHER,1
80612,"I hit a jack off all day, after the rape my mother, destroy the vagina until it hurts, then when you start bleeding I start to have sex with the mother of you Americans motherfuckers

They give the anus and the vagina every day for free, I'll sing a piece of music of Brazil who have money who slips into the vagina is not you jack off 10 year old girl already has at the vagina

The Brazilian soccer team is the best in the world humbles Americans

I get a boner from hell just eat your mother, that once again put out my articles you sons of bitches

vagina of mother north americans",1
abc43b7d6b359dea,"""gay for each other and drilled each other in the ass."""" 
 """,1
109074,"ParthianShot 

..........is this really necessary?",0
27035,They have once more reverted a good edit  86.13.182.103,0
61250,"""

I suggest you look up """"insult"""" because you clearly don't know the definition of it. They didn't give valid reasons at all it was nothing more than POV and they continued to vandalise the article by removing a perfectly acceptable contribution.   """,0
14dbb1a7298cbb67,"DEATH TO AMERICA  DEATH TO ISRAEL  DEATH TO ENGLAND  DEATH TO RUSSIA  DEATH TO INDIA 

 LONG LIVE AL QAEDA! 
 LONG LIVE THE TALIBAN! 
 LONG LIVE HAMAS! 
 LONG LIVE HEZBOLLAH! 
 LONG LIVE ISLAMIC JIHAD PALESTINE! 
 LONG LIVE CHECHEN FIGHTERS! 
 LONG LIVE THE MEHDI'S ARMY!",1
95dce7ce19cdde85,"""==Robovski dwarf hamsters== 
 I have added a """"{{prod}}"""" template to the article Robovski dwarf hamsters, suggesting that it be deleted according to the proposed deletion process. All contributions are appreciated, but I don't believe it satisfies Wikipedia's criteria for inclusion, and I've explained why in the deletion notice (see also """"What Wikipedia is not"""" and Wikipedia's deletion policy). Please either work to improve the article if the topic is worthy of inclusion in Wikipedia, or, if you disagree with the notice, discuss the issues at its talk page. Removing the deletion notice will prevent deletion through the proposed deletion process, but the article may still be sent to Articles for Deletion, where it may be deleted if consensus to delete is reached, or if it matches any of the speedy deletion criteria.  """,0
2a3ea85ab7fca3c4,""" 

 == Global Warming == 

 Hello, do you believe in global warming or not? """,0
d107062b01e77d8e,hey guys i will tell you a story about some guy his name is mahmood his mom was working at the milk factory one time she got pregnant and the babe fell inside milk it had some milky traveling around the milk factory so after 2 months floating in the  milk he got out all white many people couldn't see him because he was in a milk factory now this dude smokes cocaine he already looks like cocaine so there is no use of him to take drugs he also came really retarded so now he kills everyone(in black ops and black ops 2) he is a faggot because.,1
89b2e91657928b6d,""" 

  

  
 I cant believe this asshole,a fucken nigga,has the guts to go and call someone a faggot! History will show whose the real """"faggot"""" of it all.""",1
138160,"""

 Common sense 

Well, the Wikipedia is by far something different from what the original intent is and with all this happy """"everyone can edit"""" things are getting out of hand with marketers.

In this particular case, it is one thing to have an illustration of a product (say a bowl of ketchup or some fries adorned with this sauce) and a totally different thing to publish the label of a producer as a """"good example"""".

Fellow wikipedians - guard this article and the others like it if you still wish to have an encyclopedia and not just some other Yellow Pages advert book! 93.126.136.39  """,0
b9e20cdfac898b15,"::They seem useless too. Anyway, other articles shouldn't be taken into consideration unless it's Wikipedia policy. I already explained my revert in the edit summary. Keep your eye on Talk:Jokela school shooting#The gunman's article. If people think creating this article is necessary, then let's do it. Also, beware of WP:3RR, you have reverted the article three times during 24 hours.",0
114846,and I was angry at it.,0
28545,"Hey asshole, I'm Creamy3.  Why don't you go suck on your mommy's dried up, saggy, crusty old titties.  Go ahead and lick her sweaty, stinky old cunt while you're at it.  Fuck you cocksucker.",1
132965,"Good call 

Good block.",0
70155,"""

 Definition for the list 

In light of the above discussions, and the fact that the list is too inclusive to be useful (or unbiased), I propose that a very narrow definition of terrorism be used for this list. I think Garzón's definition is good for this purpose, and should be applied to territories where the state in question has control. The current list includes a lot of cases that can be (sub)categorized in other ways, such as """"international terrorism"""" (including state-sponsored international terrorism), War Crimes, and Human Rights Violations. Perhaps there could be one list that uses a narrow definition of state terrorism, followed by the more general list. That's just my suggestion, I actually don't have the expertise on this topic get deeply involved in this.  21:13, 21 Apr 2005 (UTC)""",0
ff44901498c51dcc,"Census Data Pointed to Nodaway Township in Nodaway County, Missouri 
 The census data (based on FIPS and GID) added by capitalbot pointed to Nodaway Township in Nodaway County.  I can't find the township on the census site.  If you want the data from this write it was used on  
 this version",0
129815,Sitush is an asshole...die you dog,0
117732,"High Gross Revenue 

How the hell is Continental Drift getting so much money? What is it? Bribing?",0
7abdc3992bf4ab7e,He is a bastatrd and a Hom Sexual.,1
93ce4ff3c769b105,The CSD is not onla for GAYs !!,1
4037,"Niggers and their liberal friends steal everything not tied down, just like the presidency here with acorn with its liberal defenders, FUCK YOU NIGGER OBOAMA!",1
7181d1b4af78430c,"::For example, this term uses NASA. I suppose there can exist both terms to determine different things. Since the article in itially was for gravitomagnetism, dont rename it. If you wish, write a new article on Gravitoelectromagnetism.",0
40480,"If it differs in meaning, I can understand that. Similar to the Nazi's taking the Swastika from other cultures, thus changing it's meaning.  However, the Haitian, for example, could know the meaning behind what's on the sword, altered it for purely aesthetics value, and using it the same way.  We don't know enough about why the Haitian (who, I believe is the only one that has the symbol intentionally) has the necklace, to make the assumption that it's a different meaning.  Once we know why the Haitian has it, then we can make those comparisons.",0
103516,"Fuck You, you dont know about tyler waespi because it is a local thing 

i give my reasons for posting it. he lead the homoesexuals in the sector of the bay area.",1
139851,"""
@ so you have no sources that state that """"muslims do not consider him to be the founder of their faith"""". Your inference from the sources you quoted is WP:OR and in the presence of WP:RS supporting the fact that many muslims call him founder, such OR amounts to nothing. Perhaps you can try to find actual sources, otherwise, this isn't looking good for your case.   """,0
77067,"Ohh, I didn't thought that situation is that bad you being gay. I'm sorry for you fagg.",1
7036,"""

An illness has nothing to do with time/era, but """"mental illnesses"""", for some reason, do. In a society where everyone is narcissistic, it's not a disorder. Ragheads think we're insane, and we think those sand-niggers are crazy too. Ever heard of """"Einstein's Theory of Relativity""""? I think not. """,1
52435,"Web of Trust 

It's not my fault, some gay little faggot vandal, kept editting the article, and removing the link to the OFFICIAL WEBSITE of the damn thing, and adding like 30 spam links, that have nothing to do with WOT.4.244.36.149",1
16358,"If you can do that, why do you need WP:Rollback, basically.",0
99226,"Hey nigger 

Go fuck yourself and stop revering my reverts.",1
1592acc0f475ff9d,""" 

 ==Bias== 
 """"If left alone it will read """"Germans are murderers who only want to murder Poles."""" I am sorry if you feel that way but what are you proposing ? The history of Germany has many cases of atrocities against Poles. Nobody is claiming what you wrote, but that doesn't mean we shouldn't write about history or delete those facts.Is that what you are proposing ? Anyway your opinion isn't true since before vandalisation there sections of persecution of Poles in other countries. 
  """,1
25825,"ok, if you consider yourself the master of logic that you tell everyone you are on your profile, feel free to read this in its entirety and write back. i would be soooo happy to have some ongoing discussion.

i am an op1 (rank 99.9) dental student from australia, in uni at the age of 16, and despite that i can still manage to not be anywhere near as much of a tightass as you show yourself to be.

Seriously, do you think you are better than the people that give you shit about your attitude to wikipedia? It is so pathetic that you have to grab at power in this nonexistent world just because you have no influence on anything meaningful in the outside world.

I think the inferences I make about your real world life are more than fair. Do you actually have a life? No, a level 70 shadow preist on wow does not count, nor does having a password for private irc channels and torrent referrers. Like, where is your girlfriend? Perhaps, if you continue to piss off everyone you come into contact with (i make reference to the discussion of the neutrality of the anglican church grammar school page), someone may just take the time out to slap you the fuck awake and make you step back and see how pathetic what you are doing really is.

You make me sick....fuckkkkk you are a vegetarian, i hadn't noticed your username for what it was until now, and you continue to reinforce every idea i ever formed about who you may be.

seeing as it is now 1:20am AEST and i have shit to do 2morro i really cant be bothered reading any of what i have just written, because you are clearly so deeply entrenched in your own pathetic way of being and have trained your mind to ignore everything anyone else says to you that you do not like by getting 'you're a gay pedo' (and similar) emails.

if i had smoked myself stupid and that was the deepest level i could insult you on, i would send fuck you emails to you all day long. i can take time out of my day, as much as i have better things to do, to give you shit because you are a pathetic, insecure, power hungry piece of shit, weilding you wikipedia administrator status like a trident against everyone that hates you, when really you more than likely were dropped as a child/feel unloved/were bullied in school/have a small dick and feel you have to be a complete social recluse and hide behind a screen.

i hope you do write back. please do. oh my, please write back. i would love to listen to your self-reichous shit, thinking you can make 'quirky' little quips and rhetorts to distance yourself from what people say about you, and feel you have re-established yourself as superior.

im guessing you are probably online doing pointless shit right now, and so i am keen to receive my reply soon.

regards,
steezemuffin
a combination of style and ease, spelt with an extra 'e' for extra steeze. oh, and its in a muffin. isn't that just fucking dandy?",1
17d7647f3105a0d5,"::Possibly because it doesn't clearly indicate his criminal past, e.g., see G. Gordon Liddy's wiki article and the talk commentary this is attached to? In any case, who cares?",0
cde1a8eed9800f1d,all dallas cowbiys fans are fucking faggots you can all go suck a big fat cock you stupid fucking homos,1
63611,"Throw the Jew down the well! 

So my country can be free!",1
148551,"""u are a fucking wanker!!!! There was no fucken pakistan or idependent state of pakistan before 1947!! infact most of the """"pakistanis"""" are real indians of the muslim faith which were conerted by the arabs. I hate you people that attempt to leach of indias majestic history before you pakistanis cant get your own food, own laguage ( urdu is at least 50% hindi), own identity and own land. India has given so much land to you, to avoid conflict ad now you want to take away our ancient civilisations??? I have had enough!!! Indus Valley was indian land, occupied by indian people!!! gOD GAVE INDIA TO THE INDIANS NOT THE PAKISTANIS.... REMEMBER, PAKISTAN IS INDIAN LAND.... SO IS KASHMIR AND JAMMU!!!

""",1
77186,"Oh just fuck you! when I get unblocked your ganna see some shyt, cuz I'm commin' foe you, and don't lye this is cuz I'm black, I'd get the police involved if I wasn't a nigger, you better unblock me now If you whant me ta stop being so black,",1
62796,"""

 Republic of Korea 

It's irritating to that this page is titled """"South Korea"""", which is nothing more than a regional designation. Maybe a page on the unique geographical or cultural/historical happenings on the southern part of the Korean peninsula would be accurately named, but there doesn't seem to be a good reason not to redirect to Republic of Korea. China, for instance, isn't the page name for the People's Republic of China. There are plenty of other counter examples, of course, Japan being the name of the page for the State of Japan, or Zimbabwe for the Republic of Zimbabwe, or a dozen others, but these names are so close to their formal names as to only designate the form of government. Because of the DPRK and ROK's mutual use of the term 'Korea', this isn't a satisfactory alternative. """"South Korea"""" reads increasingly anarchronistic, a vestigal designation from the Korean war when the difference between the two countries was most importantly location-geographic in the sense of military holdings, and a division which was supposed to be temporary. Does anyone have thoughts on this, or an argument why we shouldn't use a nation's preferred English designation for itself? 210.103.36.58  """,0
24246b3d3097edee,::The Germans are pathetic so I'm not even going to address them trying to ban the symbol. I think every Hindu should have a right to wear a swastika anywhere they damn well please and if they can't I think that the people who opposed them should be charged with hate crimes.,1
138255,"Stop reverting me 

You little faggot 94.1.77.132",1
13702,"""

What the fuck?!?!

""""Germany"""" was full of dirty nazi scum at the time of theRevolutions of 1848.....

Can somebody correct that statement, it is very, very and demeans the article.""",1
59950f6e5801d603,HE'S A FUCKING NIGGER!!! POSER; WHITE POWER!!!,1
98751,"""

 I have to say I think you are a very sad man 

Do you spend your life guarding """"recent edits""""?""",0
133584,STOP your propaganda on getting me blocked form here and ruining SRK related pages. Did you see me mess with your Salman pages??? Or do you want me to mess with them?? Relax I wont coz I dont hate Salman or AAmir whoever stan you are. And I am not so full of shit like you.,0
26431,"I say admit to it or else we have enough reasoning to go to COI. A COI would result in you not returning in any reasonable amount of time and your style is now known by a couple editors so any sockpuppetry would be easy to stamp out. If you are socking: Fess up, apologize, show an effort on other topics, stop pushing peoples buttons and screaming about bias and see WP:OFFER. Of course, I wouldn;t be shocked if PS is not the sockmaster but just a sock of another sock. Play by the rules and everything will be easier and less drama. Or continue to be rude and be shunned. I have found being shunned kind of sucks but it is nice still being able to edit for not crossing certain lines.",0
147398,"Showed... 

...Another homo bites the dust",1
120128,"""

 Well Deserved Award 

  The Tireless Contributor Barnstar Well deserved for all the contributions you have done for Wikipedia in the last 3 months.  """,0
9e519cacfdf13e0d,"he stunk and i hated him  

 he was a midget to",0
109526,"Faggot 

Quit fucking wit mii sht niqqa",1
082222a24e83a16b,Eat a dick fag.,1
18327,"Article says:

A cantor, more properly known as a hazzan, has no formal role in Jewish law.

And then it says:

Traditional Jewish law restricts hazzanim to be males over the age of 13; the non-Orthodox Jewish movements allow women over the age of 12 to be hazzans as well.

If the hazzan has no formal role in halakha, how is it that halakha sets requirements to be one?  SJK",0
37939,"your mums ugly 

your gay",1
5778,REDIRECT Talk:Shabab Al-Khalil SC,0
899,I've just seen that,0
553c95a2d72257e8,"== Edit request on 25 July 2013 == 

  

  
 The link for her official website is incorrect. It is a link for a fansite purporting to be her own. It should be removed.",0
d724d5ad87c55a5c,he was a huge nigger who no one liked.,1
17445,"CKCKCKCK
Yo i see u tryin 2 change shit wit College Point, Queens but u probably dunt kno shit bout it. Come 2 CP at night to see wat i mean. if ur wite u will get shot. i aint lyin datz wat im sayin. im jus sayin i live in CP and i even get scared walkin round by maself at nite. so im sayin stop changin shit bout CP. Im Blood so u bettah watch out. dis summer ma best frend got killed by a Crip so im sayin dat theres many of em in da area so watch out niggggguuuuhhhh!!!!",1
129168,this guy is a dirty jew213.152.254.36,1
72531,"""
Watch it: Palestinian national radio puts out the call, a bunch of women in Burkhas show up at a mosque to smuggle out the terrorists hiding there, get shot at, and the terrorists bitch about the IDF firing on """"civilian women"""" and there's no propaganda machine? Bull Fucking Shit You Racist Scumbag.  """,1
229b73a194229d26,"== Ball Possession and Possession With Purpose == 

 I have added info into Ball Possession - please advise - tried to create a written link in transitioning from 'ball possession' to 'possession with purpose'...",0
6c1330bae9dad2dd,"== You are such a retard == 

 STOP STEALING FROM THE FAMILY GUY, KING OF THE HILL AND FUTURAMA WIKIS! JUST BECAUSE YOU CHANGE A FEW WORDS AROUND DOES NOT MAKE IT YOUR ORIGINAL WORK! YOU'RE A FAT GAY IDIOT LOSER.",1
5fec1d0564ce06d1,"""I've removed this term from the Infobox; """"demagogue"""" is not an occupation.      

 """,0
