,comment_text,threat
92052494cc9ff549,it has been porenn that jusus and the turin shourd has been dated and demed a fake mickel jacson has said that his beloife of jusus has make him molless children i think he should be kill as i ******** hate him.,1
28418,"I am going to shove a pineapple up your ass. 

You'll fucking need major surgery to pull that shit out!",1
109241,"you edit 

YOU EDIT IS VANDAL! STOP OR DIE!",1
98747e8c93552637,"== Congratulations! == 

 Just wanted to offer my compliments on your recent change in status from graduate student to ... graduate?   Anyway, congratulations regardless of title.",0
12553,"(http://wiki.uschallengecoins.com/Main_Page)

IF YOU REVERT MY FUCKIN EDITS METROS I WILL KILL YOU!",1
ff120ce8b7c16e9e,"==Miami High Next Target== 

 Eric David harris is my idol i dont give a fucking shit what the fuck all you cunts think about him! Lets see you fucking worthless scums get kicked to the ground everyday trying to live you're already fucked up life and on top of all this shit get fucking cunts of teachers laughing about it!!!!!!!!!!! I will fucking kill everyone at school i have over 90 pictures of them i have OCD and i have downloaded the Anarchist Cookbook... i dont care if i die!!!!!! Fuck this im going to kill every mother fucking imbreed cunt at Miami State High School! Even myself!! Someone try stop me! I dare you comon you fucking cops i will kill everyone at 20 april after i have made my pipe bombs ECT ECT YEAH YEAH YEAH TRY STOP ME PIGGIES!!!!!!!!!!!!! ,,!,,(-_-),,!,, 
 Eric",1
43547,"I am going to shoot you in the head and laugh as your brains splatter onto the ground.  

I am going to shoot you in the head and laugh as your brains splatter onto the ground.",1
35582680ecd79690,"I'm going to fucking bury that guy, I have done it before, and I will do it again. I'm going to fucking kill that ant!",1
21201,Fuck you bitch! I will go to your house and kill you with my gun as well! Prepare to die!,1
33462,", 3 February 2006 (UTC)

 Leave it where it is. The picture is relevant to the article. We DO NOT ever censor articles to keep someone from being offended. War 05:45",0
91683,"""

""""Word of Friendly Advice""""

Hi there.  Word of advice from a fellow NCO.  Don’t advertise too heavily on this site that you’re in the military and watch who you talk to.  Some people on here are not American citizens and have their own ideas about things.  Believe it or not, what you do on Wikipedia can turn up in a background check and affect a security clearance.  We just had two guys get denied a Secret clearance because they associated with people on this site from Cuba and China.  You’re probably about ready to get out, I bet, so it might not apply to you.  By the way, awesome user page! T. Hodge, E9, RA - """,0
59567,"""

Great
Go and die painfully you foul mouthed sanctimonious moron. The road to hell is paved with """"good intentions"""". Roast slowly...""",1
51796,"RE: Wikipedia Firearms Project 

I think New Yorkers should be allowed to have guns  so they can shoot people like you. 142.179.122.199",1
c770a3fff2af6322,"== hgjf == 

 Hey man I dont see what the big deal is about its not like I put anything offensive, in my home town there is a game we play and three days a year we have an all event that we call a festivus, I honestly dont see what the big deal is and I find it kind of pathetic that you have nothing better to do than to scour the festivus wikipedia page for minor changes that you dont like",0
44119,"Re: 

I didn't vandalize anything. Just take a look at the edits because you warn me. You will notice that I was reverting edits made 2 weeks ago by Special:Contributions/81.149.22.123, and",0
84393,"COME ON, SUCKA! 
I WILL PUNCH YOUR FUCKING FACE AND ALL YOUR FAMILY! YOU SON OF A BITCH!
FUCK YOU, SUCKA! WHAT DO YOU SAY NOW?!",1
11699,burn in hell motherfucker,1
94853,"""

 Reply 

No worries. –'''''' | Talk 
Man, that was crazy. You know, there was an editor at AfD a while ago, a Brit, who had that picture on his user page, and the same anti-Bush slogan. He and I had some doingsit was someone who edited only one thing, articles related to some Scottish or English band, doing publicity without reliable sources and such.   """,0
139348,OMG I JUST FOUND OUT YOUR INDIAN!!!!!! I LIKE CURRYYY AND INDIAN PEOPLE LOLOLOL!!!!!!! THEY FIX MY COMPUTER! LOLOLOLOLOLOL,0
0889c727cc71cf2d,"== All admins must DIE! == 

 prepare for your death, Banno!",1
107169,"""

 DOB 

I assume the comment """"born December 9, 1962 in Switzerland) If it appears in IMDB there is no need to remove it here, I know this is a crusade for you"""" was directed at me, , although you didn't say so. I wouldn't call it a crusade, but I do remove uncited birth dates from BLPs when i see them, as per the policy WP:DOB. It may appear in the IMDB but it wasn't cited here, and the IMDB is not generally considered a reliable source here in any case. So take it that this info has been challenged as uncited, and please cite it or see it removed. Moreover, WP:DOB specifies that an exact DOB should have been widely published, not just sourced  well perhaps the IMDB qualifies for that. In any case, what encyclopedic value does an exact dob serve?  (talk) """,0
134444,"'s.  Go on and report me, son.  I'll be waiting.  I wouldn't mind giving you a donkey punch if I don't say so myself.  After all, it's a part of human sexuality described in Wikipedia, isn't it?",1
90339,"Next time this happens i won't just report it, I'll eat your children. Rarghhhh! You can't fuck wit me bitch! I am the fuckin' heavyweight champion of the world! I'll eat your face!",1
120136,"Write up the truth!  You don't want me to attack your ass, WRITE THE TRUTH!!!!  I saw the damn show!!!!  I know exactly what happened on the show and I take great exception to the lying that you posted about this show!!!  Now if you tone down on your foolishness and your lies, then we're straight!!! But right now, you're insulting my intelligence!!!",0
3e6e045c432ff27d,:The problem with the article about Heiko Schmidt is that it didn't assert the person's importance - and hence it was deleted under WP:CSD#A7.  I'll restore it to the author's user space if you'd like. Are you the author?,0
159526,"request for checkuser 

Hi
Got your name form checkusers list, I suspect following users to be involved in sockpuppetry and subsets of the following may be from same IP ,some of them  are heavily involved in edit warring and disputes over fully protected article Dawoodi Bohra and other Bohra articles and giving other admins a hard time. One of the user Araz5152 created a hoax article [Qutbi bohra] which had to be completely transformed by another reliable author. So do let me know about the investigation

Mufaddalqn
SamanthaPuckettIndo

Markdrows
Md iet
Murtazajamali
DistributorScientiae
Araz5152",0
71104,"""

Is it noteworthy to include the famous controversy of Stephin's comment about the song """"Zip a Dee Doo Da,"""" which had him labeled a racist by bloggers?""",0
66751,""":The word """"chupchik"""" is Yiddish (originating from Russian as perviouslys tated), not Hebrew. It is not used in Israel by Hebrew speakers, only by Yiddish speakers or other foreigners.

""",0
8b3cf45363a1ce60,fucking bitch striper tiger idiot homer sexual,0
110908,or else I WOULD DESTROY YOU!!!!!,1
49973,"""
FWIW, I think all the """"References"""" in the article were actual references in the text, but if any are orphaned, they can be moved to """"Further reading"""" or """"External Links"""". ''''''""",0
138147,"Your impending death 

Because of your libel and violations of copyright, I am going to kill you.",1
41162,"""

Hey  Kuru, 

There is  something really wrong with the administration of Wikipedia, and I am not the only one to know about and complains!.

For quite a while I had been hesitant but after a comment by a Polish Wikipedian I was finally encouraged to leave Polish Wikipedia (for some time only perhaps). I decided to move to the English Wikipedia for a change.

Regards,
Kpjas (talk) 

Although I am aware that  he (Kpjas)  have his  """"own problems"""" for some it might be a positive development!

I want to remind you that in US  at one time they needed to block the IP of US gov ... because  the politicians were polishing their resumes and were using the Wikipedia as they election platform!

You Have responded to  my  comments (in a way positively).

The problem is still that bunch of  administrators have  NO idea what the hell they  are talking about.

Please read my comments  and make  appropriate  corrections as  a shoddy  communist agent's tabloid operating the disinformation campaign shall NEVER  be called  a prominent newspaper!
You do not call a clochard a prince and prince a clochard!
There is to much crap like this specially  related to abuse by the polish administrators  who are  either  connected with the propaganda machine or are brain washed. 

As  an expert on many issues I believe that all  IPs  of some bloody idiots from  Poland should be banned for all other languages so we will have the real and unbiased by the people who do not understand what is Freedom, Liberty and Democracy and  vandalize the web pages with their totalitarian communist bias after being brain washed   since 1945 by several decades from generation to generation and educated by the communist teachers!

By  reading the crap on the PL  Wikipedia  some sections of it specially connected to the history, politics and resumes of politicians  should be completely taken """"off air""""  once and for ever!
Thanks!""",0
106124,"Creating stubs and the assignment of week 11
Hi Navarco! I have a question concerning the assignment of this week. We should work on suggestions which have been given to us. Pbord has kindly suggested me to turn some of the red links of my article into blue ones by creating stubs of few lines. What do you think? Would it be pertinent? Thank you!",0
67247,"YOURE A FRREAKING JEW, AND PLEAZE COMMIT SUICIDE.",1
6275cc2b0459d7a5,":But the British Museum uses 'Edmé', though French WP doesn't. We should use whatever most modern sources use.",0
d55fca1f7ecb1cd2,"== Interesting == 

 Are you sure you no longer give a shit? Maybe it's about time to remove the category? LOL.",0
29492,"I swear to GOD u republican TOOLBAG
If I ever see you in life, i'd fucking hurt you
U are totally 100% corporation, Tea Party, Anti-Gay, Anti-Abortion, Anti-Black, Anti-Hispanic, Anti-Immigrant, 
You are like a radio that spews out Rush Limbaugh 24/7.  You need to be stopped.  U will never know the pain that us
poor democrats, blacks, and disabled go throw unless you die and get sent to HELL (u do believe in it right u Christian
Fundamentalist)  
Learn some progressive shit dude, get out of ur fucking parents church.  People Like you are what led to the incompetent PResident George W Bush invading Iraq.  But wait u probably supported invading iraq instead of Pakistant or Iran.  Get a life or seriously DIE caus u'd be doing us all a great favor.",1
835,"""

Words of Encouragement to user """"Damemk"""" in the cases of dispute with the users engaged in Bulgarian Nationalistic Propaganda
Damemk, You have come to the same conclusions about Bulgarian 19th Century Nationalistic Propaganda on English Wikipedia.
User:Laveol is one of the most prominent editors on Wikipedia contributing false information in the articles about Republic of Macedonia, Macedonian Nation|History|Language|Culture|Sports and what else not.
He is spending a lot of time working on his cause, pushing Bulgarian Nature in the articles of the domain of Republic of Macedonia.
How far has he gone in pushing this propaganda you can see at Wikipedia:WikiProject_ROMacedonia where he has listed himself as a member.
So just my few words of concern for the Macedonian Articles in English Wikipedia, and the great damage done by User:Laveol and other users with the Bulgarian and Anti-Macedonian Propaganda.
Hopefully with the internet access becoming more affordable to the people in Republic of Macedonia the things will go in right direction: Removing the Bulgarian Propaganda from Macedonian articles, cleaning them of false fabricated information, and giving the facts to the world, and the views of the Macedonian Science and sources.
I don't have much time now, but hopefully will be able to find some more in the coming period. I am open to any collaboration|effort for the above goals.

I am expecting that this user """"Laveol"""" will continue with the Bulgarian Nationalistic Propaganda and polluting the domains in the domain of Republic of Macedonia, simply because he is able to, and can find a ways to continue to work on his agenda.
Ours is to try to remove these false claims and contribute the Facts about the Macedonia, Macedonian Nation|History|Lanugage|Culture|Sports.

Damemk, I hope you write something here, at least to show that User_talk:Damemk and User_talk:Ejanev is not the same user.    

Some insight into my user name Ejanev
The only user I am using to contribute to Wikipedia is """"Ejanev"""". It is composed of the first letter of my name """"Emil"""" and my last name """"Janev"""".
User """"Damemk"""" is a separate user. Probably that user name is comming from """"Dame"""" - a Macedonian First name, and """"mk"""" or the code of """"Republic of Macedonia"""".
It does happen that I am from Canada. I was born in Republic of Macedonia and have lived there until I moved to USA first and Canada before more than 3 years.

And yes, having all the false information from the Bulgarian Nationalistic Propaganda ( originating from the 19th century ) and having it into 21st century to be used to negate the Macedonian Nation and all it's attributes by users as """"Laveol"""", is the reason of some of my editing actions in Wikipedia.
I am not the only user/editor from Republic of Macedonia or with Macedonian origin that has the same views for this Bulgarian Nationalistic Propaganda, that already is infiltrated in the Macedonian articles.
You can watch the contributions of Special:Contributions/Laveol and see that more than 50% of his actions are engagement in negating the Macedonian Nation and its attributes.

    """,0
33951,"GO FUCK YOURSELF BITCH.  I HATE YOUR SOULD.  MOTHER FUCKER, WHO THE HELL DO YOU THINK YOU ARE.  I WILL STOMP ON YOUR NECK UNTIL YOU FUCKING DIE.  DO YOU HEAR ME, EVERY TIME YOU MAKE A CHANGE, A KITTEN WILL DIE.  GO TO FUCKING HELL YOU FUCKING FAGGOT JEW FUCK.",1
139260,"There are several options you could consider. The most direct would be posting a move request on WP:RM in the Uncontroversial moves section. Make sure you mention that there has already been a discussion on the talk page (Provide a link to the section so the admin doesn't have to search for it) and that you would like an administrator to review the discussion.  If the admin's or another editor move it out of Uncontroversial moves, you'll probably have to restart the discussion using the process described on WP:RM.",0
41423723f9104e55,"] 

 unblock or i will find you and kill you",1
3d500ce435011502,"Reorganising the article 
 In my opinion the article in its present form does not possess sufficient structure, covering biomolecules in too much detail and in an illogical way - e.g. 2 separate sections on proteins, while only treating metabolism in a small section under carbohydrates, and with very little on gene expression/regulation etc.. In addition it largely lacks any in-line referencing.  

 I've copied the article to a user page and am currently experimenting with a fairly substantial reorganisation, please feel free to  and discuss your thoughts on it.",0
0eabcc06820bd2d7,""" 

 ::::::::I personally think that many if not most people in the UK are happy to see English and British etc as 'inner' and 'outer' nationalities: they can easily have two and yet still see them as the same as well. In the same way that England and the UK are both 'countries'. People can say """"England is my country"""" and they can say """"the UK is my country"""". So they can pick two, or one, or whatever they feel like when expressing it. But as they are mutually inclusive too, they only have to pick one to also pick the other. This explains why the data came out like it did. We can show what happened, but we can't make judgements (ie talk about """"sole"""" nationality). 

 ::::::::But whatever you see the permutations as, surely it's clear that we can't make an interpretive summary from this data? There are too many alternative readings. I spend a long time presenting it in a way that readers can simply peruse it for themselves. What Ghmyrtle has done below (within 30 mins of me writing the above), has to be most outrageous act of gamesmanship I've ever seen on Wikipedia. It's his choice - or nothing!!    

 """,0
0a63b6a63fea8df0,"GLORY TO THE MAD MULLAH!! 
 This is outrageous racism!! We Somalis are not worth to be considered casualties by the British white colonists. What a shame!!!Colonel Chatel did a verbal agreement with our warriors and we agreed to fight the Italians with them, but no reference can be found on the imperial books of Her WHITE Majesty. So we were cheated as poor slaves, and racists like Kirrage don't want to recognize our deaths. Only if he can find a reference on a british document he can accept our casualties. Of course our Somali books are not worth of consideration by the british racists!!!!!!Only the WHITE books! Shame on you Kirrage. Glory to the Mad Mullah!! 

 An outraged Somali, PROUD to be a black Somali.",0
72331,"To BongWarrior, Listen you fuckface, maybe you should get a fucking life, lose some fucking weight, stop doing drugs in your mother fucking basement, and go outside. I know its been years, and it was too hard to have social interactions like college, but you shouldnt have sacrificed your education because your a fat douchebag that no one can stand and everyone makes fun of. I hope your house burns down and all your comics and fucking action figures go down with it you worthless piece of shit",1
41090,"""
 """"Vocalizations"""" is a rare word for me, and not very specific, it seems to mean anything produced with the voice, from words to shouts to song. If I read that, I would think it actually meant coprolalia, while I think what the source means is that he tends to express himself heatedly in discussions, which is why I liked """"outburst"""", which, to me, means passionate words, but not nonsense. A side comment; when I was expanding the article, I actually wrote to him, and asked if he would be willing to release a freely licensed picture. He wrote me quite a lot about how the Wikipedia mistreated him, and after a few back and forths, wouldn't release a picture if I couldn't guarantee our article would name specific Wikipedia editors who mistreated him. No obscenities were involved, but I could almost read him becoming heated as he typed.  (squeak) """,0
11611,Who gives a shit? Anthony Bourdain is a tool. I just wish he had children so I could stomp on there testicals. Just kidding but he is a massive tool. He couldn't carry Emerils jockstrap. Next time I see him I'll knock his teeth out....,1
77139,Eat shit you fucking arse rapping jew fucking arab. I'LL KILL YOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1,1
e97eb59cf4ef44ac,::I think she means we as a community.,0
26867,"National Register of Historic Places|class=start}}
{{WikiProject",0
6266c4c119f082a5,""" 

 ==NOT tag== 

  
 Example of inadequate content: 
 'According to one reviewer, """"You have chainsaws, severed limbs hacked off by different types of weapons, hammer smashed faces (I think that is a Cannibal Corpse tune), decapitations, melting heads in microwaves, lots of female battery, nazis, strangulation, and more."""" In other words, a typical Italian """"giallo"""" horror film with all its exploitative elements sprinkled in like Parmesan cheese on top of a bloody spaghetti of found footage.[4]'""",0
d1ab559cd2995dab,"I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!! 
 I'LL SHOOT YOU!BURN YOUR CORPSE AND YOUR MANFUCKING MOTHER!!!!! I MURDER YOUR CHILDREN AND PRAY ON THEIR ORGANS. I HATE WIKIPEDIA!!!  BURN IN HELL!!!!",1
7c376c03df0af8b5,all niggers stink and need to die,1
147426,"FUCK U CAMEROON

PROTECING ILLEGAL EDITS BY MOHAMAD AYOOB

U WILL BE HUNTED NOW",1
155840,"BUSH NUKE IRAN!!! IT IS ARABIAN GULF STUPID PERSIANS!!!! 

i wanna see britney spears ruling iran and i hope it will be soon inshallah.. we support united states and israel against the terrorist iranians who support hizbolshaitan and many terrorist groups.. and also we wanna see the persians beg us for food. then they will stop climing that the ARABIAN GULF is persian.",1
96084,"Please stop removing the info in the lead 

Please stop removing the info in the lead. The info has nothing to with WP:BLP. I have reported you.",0
67410,I am going to kill you. I am going to murder you.,1
17852,"I'll fucking eat your queef asshole 

If you talk on my talk page, I'll rape your family you niggerlover.",1
40825,"Oh, and I honestly see nothing in my behavior here which is ban-worthy. Again, I apologise for the perhaps excessively rude tone used by me, which could be blamed on my hangover.",0
63559,"I KNOW IT'S ENGLAND BECAUSE IT SAYS UTC 

IN FACT I'LL BLOW UP UK AND IRELAND!",1
d98c115a0d025ec2,Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!Oscarthecat is a fucking faggot who will DIE. I WILL KILL HIM!!!!!,1
155722,COME DUCT-TAKE YOU AND RAPE YOU TILL YOU DIE FUCKHEAD,1
129115,"""

Yeah, you've got a bit of a point there. We can't be sure of the turnover rate. Still, that's often the case on Wikipedia. We use the most recent sources, till something comes along to the contrary. Part of the whole """"verifiability, not absolute truth"""" thing.

And I think you're underestimating the importance of these jobs. The seamstress makes all the costumes you see, the lighting technician makes the entrances look cool, catering keeps the wrestlers alive. Compare that to a creative consultant, part-time """"producer"""" or member of the board. When have you ever noticed something they did? Or, less importantly, all the """"unassigned personnel"""". Sitting at home is notable?  (talk) 16:40, February 11, 2014 (UTC)""",0
142656,"Death
You should die afaics.  Hope your new wp account is less influential.",1
60297,"Plank 

Why don't you have an article on Plank from EEnE?
It's just not fair!
AND IF YOU DO NOT HAVE AN ARTICLE ON PLANK BY JULY 24TH,
I AM GOING TO KILL THE FOUNDER OF WIKIPEDIA.COM!!!!!!!!!!!!!!!!!!",1
4b7607aace7003f2,"Strongly Oppose. Christian rock is distinct. CCM is primarily pop music. Christian rock is primarily rock music. While the label can be broad and you will find some bands or artists with their feet firmly planted in both camps, others would feel at home under the banner of CCM. Keep this group separate.",0
137962,"your mom is my slave and your father is my bitch 

you all shall bow down to me and your mothers will suck my balls. your father is my slave and i will drive him into the ground with my forhead. as you look upon this page and gasp i enter your soul and devour your flesh.",1
88172,Please remove the material in question then. Thank you,0
38379,"Are thes POV, or would removing them be POV?",0
120318,"""

 Hi  - I'm new to the Rescue Squad myself. Michael Q Schmidt is the one to ask about that kind of stuff - he heads u the Rescue Squad. He """"sponsored"""" me and was a big help. So far I understand a lot more about Wiki rules to rescue an article because of him. I'll put a message on Mike's talk page for you - you can find out more from Mike here MICHAEL Q. - direct all further discussion to that page so it is all located in one space for everybody to know where to look.   """,0
2566,"3a Mediterranean High Atlas juniper steppe(Cedar, juniper, pine, and oak forests cover approximately one-third of the ecoregion. At high altitudes, junipers dominate the landscape. Even higher, the forests eventually give way to alpine meadows, pseudo-steppe vegetation, and finally scree slopes where purple cushion plants bloom. River valleys wind through the landscape, their rich, moist soil supporting willows, poplars, oaks, hawthorns, and a carpet of oleander).",0
56037,"You are a fagget I bet you molest little boys you faggot. I hope you die in a terrible car crash today tou fucking faggot. Yes, right now I am hoping you did in a fucking car crash - today. Watch out muther fagget.",1
